talker	word	jyutping	frequency.group	condition	percent.different
s121	唔係	m4.hai6	low	ADS	0
s121	就係	zau6.hai6	low	ADS	0
s121	可以	ho2.ji5	low	CDS	0
s121	可以	ho2.ji5	low	ADS	20
s121	覺得	gok8.dak7	low	ADS	25
s121	如果	jyu4.gwo2	low	CDS	0
s121	如果	jyu4.gwo2	low	ADS	0
s121	而家	ji4.gaa1	low	CDS	100
s121	然後	jin4.hau6	low	ADS	33.33333333333333
s121	放棄	fong3.hei3	low	CDS	100
s121	電腦	{din6.lou5|din6.nou5}	low	ADS	0
s121	重要	zung6.jiu3	low	ADS	0
s122	自己	zi6.gei2	low	ADS	100
s122	或者	waak9.ze2	low	ADS	0
s122	朋友	pang4.jau5	low	ADS	100
s122	所以	so2.ji5	low	ADS	0
s122	知道	zi1.dou6	low	CDS	100
s122	不過	bat7.gwo3	low	ADS	0
s122	呢個	{li1.go3|ni1.go3}	low	CDS	0
s122	我哋	{ngo5.dei6|o5.dei6}	low	CDS	0
s122	我哋	{ngo5.dei6|o5.dei6}	low	ADS	0
s122	嗰個	go2.go3	low	CDS	25
s122	嗰個	go2.go3	low	ADS	40
s122	但係	daan6.hai6	low	CDS	0
s122	但係	daan6.hai6	low	ADS	15.384615384615385
s122	其實	kei4.sat9	low	CDS	0
s122	其實	kei4.sat9	low	ADS	33.33333333333333
s122	唔係	m4.hai6	low	CDS	0
s122	唔係	m4.hai6	low	ADS	0
s122	就係	zau6.hai6	low	CDS	0
s122	就係	zau6.hai6	low	ADS	0
s122	可以	ho2.ji5	low	CDS	40
s122	可以	ho2.ji5	low	ADS	40
s122	覺得	gok8.dak7	low	ADS	50
s122	如果	jyu4.gwo2	low	CDS	0
s122	如果	jyu4.gwo2	low	ADS	0
s122	而家	ji4.gaa1	low	ADS	100
s122	以前	ji5.cin4	low	ADS	50
s122	然後	jin4.hau6	low	ADS	81.81818181818183
s122	辛苦	san1.fu2	low	ADS	100
s122	雖然	seoi1.jin4	low	ADS	0
s122	唔敢	m4.gam2	low	ADS	0
s122	電腦	{din6.lou5|din6.nou5}	low	ADS	0
s122	重要	zung6.jiu3	low	ADS	0
s123	自己	zi6.gei2	low	ADS	50
s123	或者	waak9.ze2	low	ADS	0
s123	所以	so2.ji5	low	ADS	25
s123	不過	bat7.gwo3	low	ADS	0
s123	呢個	{li1.go3|ni1.go3}	low	ADS	0
s123	我哋	{ngo5.dei6|o5.dei6}	low	ADS	0
s123	嗰個	go2.go3	low	ADS	37.5
s123	但係	daan6.hai6	low	ADS	0
s123	其實	kei4.sat9	low	ADS	50
s123	唔係	m4.hai6	low	ADS	0
s123	就係	zau6.hai6	low	ADS	50
s123	可以	ho2.ji5	low	ADS	16.666666666666664
s123	覺得	gok8.dak7	low	ADS	50
s123	如果	jyu4.gwo2	low	ADS	50
s123	而家	ji4.gaa1	low	ADS	100
s123	以前	ji5.cin4	low	ADS	0
s123	然後	jin4.hau6	low	ADS	100
s123	辛苦	san1.fu2	low	ADS	100
s123	雖然	seoi1.jin4	low	ADS	0
s123	先生	sin1.saang1	low	ADS	0
s123	電腦	{din6.lou5|din6.nou5}	low	ADS	0
s123	重要	zung6.jiu3	low	ADS	0
s124	自己	zi6.gei2	low	CDS	50
s124	自己	zi6.gei2	low	ADS	50
s124	或者	waak9.ze2	low	ADS	0
s124	所以	so2.ji5	low	ADS	0
s124	知道	zi1.dou6	low	ADS	100
s124	呢個	{li1.go3|ni1.go3}	low	CDS	0
s124	呢個	{li1.go3|ni1.go3}	low	ADS	0
s124	我哋	{ngo5.dei6|o5.dei6}	low	CDS	0
s124	我哋	{ngo5.dei6|o5.dei6}	low	ADS	0
s124	嗰個	go2.go3	low	CDS	41.66666666666667
s124	嗰個	go2.go3	low	ADS	0
s124	但係	daan6.hai6	low	CDS	0
s124	但係	daan6.hai6	low	ADS	0
s124	其實	kei4.sat9	low	ADS	50
s124	唔係	m4.hai6	low	CDS	0
s124	就係	zau6.hai6	low	ADS	16.666666666666664
s124	可以	ho2.ji5	low	CDS	0
s124	可以	ho2.ji5	low	ADS	0
s124	覺得	gok8.dak7	low	ADS	0
s124	如果	jyu4.gwo2	low	ADS	100
s124	而家	ji4.gaa1	low	ADS	66.66666666666666
s124	然後	jin4.hau6	low	ADS	100
s124	辛苦	san1.fu2	low	ADS	100
s124	做嘢	zou6.je5	low	ADS	100
s124	電腦	{din6.lou5|din6.nou5}	low	ADS	0
s124	重要	zung6.jiu3	low	ADS	0
s125	自己	zi6.gei2	low	CDS	75
s125	自己	zi6.gei2	low	ADS	66.66666666666666
s125	或者	waak9.ze2	low	ADS	16.666666666666664
s125	朋友	pang4.jau5	low	ADS	0
s125	所以	so2.ji5	low	ADS	8.333333333333332
s125	知道	zi1.dou6	low	ADS	100
s125	不過	bat7.gwo3	low	ADS	0
s125	呢個	{li1.go3|ni1.go3}	low	CDS	0
s125	呢個	{li1.go3|ni1.go3}	low	ADS	0
s125	我哋	{ngo5.dei6|o5.dei6}	low	CDS	0
s125	我哋	{ngo5.dei6|o5.dei6}	low	ADS	0
s125	嗰個	go2.go3	low	CDS	57.99999999999999
s125	嗰個	go2.go3	low	ADS	59.25925925925925
s125	但係	daan6.hai6	low	CDS	0
s125	但係	daan6.hai6	low	ADS	0
s125	其實	kei4.sat9	low	CDS	100
s125	其實	kei4.sat9	low	ADS	76.47058823529412
s125	唔係	m4.hai6	low	CDS	0
s125	唔係	m4.hai6	low	ADS	0
s125	就係	zau6.hai6	low	CDS	0
s125	就係	zau6.hai6	low	ADS	40
s125	可以	ho2.ji5	low	CDS	0
s125	可以	ho2.ji5	low	ADS	66.66666666666666
s125	覺得	gok8.dak7	low	ADS	60
s125	如果	jyu4.gwo2	low	CDS	0
s125	如果	jyu4.gwo2	low	ADS	0
s125	而家	ji4.gaa1	low	CDS	80
s125	而家	ji4.gaa1	low	ADS	93.33333333333333
s125	然後	jin4.hau6	low	CDS	0
s125	然後	jin4.hau6	low	ADS	85.71428571428571
s125	辛苦	san1.fu2	low	ADS	100
s125	先生	sin1.saang1	low	ADS	0
s125	做嘢	zou6.je5	low	ADS	0
s125	電腦	{din6.lou5|din6.nou5}	low	ADS	0
s125	重要	zung6.jiu3	low	ADS	0
s126	自己	zi6.gei2	low	ADS	9.090909090909092
s126	或者	waak9.ze2	low	ADS	0
s126	朋友	pang4.jau5	low	ADS	0
s126	所以	so2.ji5	low	ADS	0
s126	知道	zi1.dou6	low	ADS	100
s126	不過	bat7.gwo3	low	ADS	50
s126	呢個	{li1.go3|ni1.go3}	low	CDS	0
s126	呢個	{li1.go3|ni1.go3}	low	ADS	0
s126	我哋	{ngo5.dei6|o5.dei6}	low	CDS	0
s126	我哋	{ngo5.dei6|o5.dei6}	low	ADS	0
s126	嗰個	go2.go3	low	CDS	0
s126	嗰個	go2.go3	low	ADS	44.44444444444444
s126	但係	daan6.hai6	low	CDS	0
s126	但係	daan6.hai6	low	ADS	0
s126	其實	kei4.sat9	low	ADS	33.33333333333333
s126	唔係	m4.hai6	low	CDS	0
s126	唔係	m4.hai6	low	ADS	0
s126	就係	zau6.hai6	low	ADS	0
s126	可以	ho2.ji5	low	CDS	0
s126	可以	ho2.ji5	low	ADS	22.22222222222222
s126	覺得	gok8.dak7	low	ADS	33.33333333333333
s126	如果	jyu4.gwo2	low	ADS	0
s126	而家	ji4.gaa1	low	CDS	100
s126	而家	ji4.gaa1	low	ADS	87.5
s126	以前	ji5.cin4	low	ADS	100
s126	雖然	seoi1.jin4	low	ADS	0
s126	先生	sin1.saang1	low	ADS	50
s126	報紙	bou3.zi2	low	ADS	100
s126	電腦	{din6.lou5|din6.nou5}	low	ADS	0
s126	重要	zung6.jiu3	low	ADS	0
